学校名称_中文,学校名称_英文,省份,排名,学校地址,学校网址
中国传媒大学,Communication University of China,北京,语2,"北京市朝阳区定福庄东街1号
",https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E4%BC%A0%E5%AA%92%E5%A4%A7%E5%AD%A6
合肥工业大学,Hefei University of Technology,安徽,83,"安徽省合肥市包河区屯溪路193号
",https://baike.baidu.com/item/%E5%90%88%E8%82%A5%E5%B7%A5%E4%B8%9A%E5%A4%A7%E5%AD%A6
北京中医药大学,Beijing University of Chinese Medicine,北京,医8,"北京市朝阳区北三环东路11号
",https://baike.baidu.com/item/%E5%8C%97%E4%BA%AC%E4%B8%AD%E5%8C%BB%E8%8D%AF%E5%A4%A7%E5%AD%A6
宁波大学,Ningbo University,浙江,84,"浙江省宁波市江北区风华路818号
",https://baike.baidu.com/item/%E5%AE%81%E6%B3%A2%E5%A4%A7%E5%AD%A6
南京工业大学,Nanjing Tech University,江苏,85,"江苏省南京市江北新区浦珠南路30号
",https://baike.baidu.com/item/%E5%8D%97%E4%BA%AC%E5%B7%A5%E4%B8%9A%E5%A4%A7%E5%AD%A6
南京邮电大学,Nanjing University of Posts and Telecommunications,江苏,86,"江苏省南京市仙林大学城文苑路9号
",https://baike.baidu.com/item/%E5%8D%97%E4%BA%AC%E9%82%AE%E7%94%B5%E5%A4%A7%E5%AD%A6
湖南师范大学,Hunan Normal University,湖南,87,"湖南省长沙市岳麓区麓山路36号
",https://baike.baidu.com/item/%E6%B9%96%E5%8D%97%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6
长安大学,Chang'an University,陕西,88,"陕西省西安市未央区尚苑路
",https://baike.baidu.com/item/%E9%95%BF%E5%AE%89%E5%A4%A7%E5%AD%A6
首都师范大学,Capital Normal University,北京,89,"北京市海淀区西三环北路105号
",https://baike.baidu.com/item/%E9%A6%96%E9%83%BD%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6
南京信息工程大学,Nanjing University of Information Science & Technology,江苏,90,"江苏省南京市江北新区宁六路219号
",https://baike.baidu.com/item/%E5%8D%97%E4%BA%AC%E4%BF%A1%E6%81%AF%E5%B7%A5%E7%A8%8B%E5%A4%A7%E5%AD%A6
杭州电子科技大学,Hangzhou Dianzi University,浙江,91,"浙江省杭州市杭州经济开发区白杨街道2号大街1158号
",https://baike.baidu.com/item/%E6%9D%AD%E5%B7%9E%E7%94%B5%E5%AD%90%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%A6
湘潭大学,Xiangtan University,湖南,92,"湖南省湘潭市雨湖区北二环
",https://baike.baidu.com/item/%E6%B9%98%E6%BD%AD%E5%A4%A7%E5%AD%A6
华南农业大学,South China Agricultural University,广东,93,"广东省广州市天河区五山483号
",https://baike.baidu.com/item/%E5%8D%8E%E5%8D%97%E5%86%9C%E4%B8%9A%E5%A4%A7%E5%AD%A6
温州医科大学,Wenzhou Medical University,浙江,医9,"浙江省温州市鹿城区学院西路268号
",https://baike.baidu.com/item/%E6%B8%A9%E5%B7%9E%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6
燕山大学,Yanshan University,河北,94,"河北省秦皇岛市海港区河北大街西段438号
",https://baike.baidu.com/item/%E7%87%95%E5%B1%B1%E5%A4%A7%E5%AD%A6
福建师范大学,Fujian Normal University,福建,95,"福建省福州市仓山区上三路8号
",https://baike.baidu.com/item/%E7%A6%8F%E5%BB%BA%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6
广西大学,Guangxi University,广西,96,"广西南宁市大学东路100号
",https://baike.baidu.com/item/%E5%B9%BF%E8%A5%BF%E5%A4%A7%E5%AD%A6
中国药科大学,China Pharmaceutical University,江苏,医10,"江苏省南京市鼓楼区童家巷24号
",https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E8%8D%AF%E7%A7%91%E5%A4%A7%E5%AD%A6
广州大学,Guangzhou University,广东,97,"广东省广州市大学城外环西路230号
",https://baike.baidu.com/item/%E5%B9%BF%E5%B7%9E%E5%A4%A7%E5%AD%A6
上海外国语大学,Shanghai International Studies University,上海,语3,"上海市大连西路550号
",https://baike.baidu.com/item/%E4%B8%8A%E6%B5%B7%E5%A4%96%E5%9B%BD%E8%AF%AD%E5%A4%A7%E5%AD%A6
上海中医药大学,Shanghai University of Traditional Chinese Medicine,上海,医11,"上海市浦东新区蔡伦路1200号
",https://baike.baidu.com/item/%E4%B8%8A%E6%B5%B7%E4%B8%AD%E5%8C%BB%E8%8D%AF%E5%A4%A7%E5%AD%A6
河南大学,Henan University,河南,98,"河南省郑州市郑东新区明理路北段379号
",https://baike.baidu.com/item/%E6%B2%B3%E5%8D%97%E5%A4%A7%E5%AD%A6
大连海事大学,Dalian Maritime University,辽宁,99,"辽宁省大连市凌海路1号
",https://baike.baidu.com/item/%E5%A4%A7%E8%BF%9E%E6%B5%B7%E4%BA%8B%E5%A4%A7%E5%AD%A6
浙江师范大学,Zhejiang Normal University,浙江,100,"浙江省迎宾大道688号
",https://baike.baidu.com/item/%E6%B5%99%E6%B1%9F%E5%B8%88%E8%8C%83%E5%A4%A7%E5%AD%A6
重庆医科大学,Chongqing Medical University,重庆,医12,"重庆市医学院路1号
",https://baike.baidu.com/item/%E9%87%8D%E5%BA%86%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6
广东工业大学,Guangdong University of Technology,广东,101,"广东省广州市番禺区小谷围街广州大学城外环西路100号
",https://baike.baidu.com/item/%E5%B9%BF%E4%B8%9C%E5%B7%A5%E4%B8%9A%E5%A4%A7%E5%AD%A6
广州医科大学,Guangzhou Medical University,广东,医13,"广东省广州市越秀区东风西路 195 号
",https://baike.baidu.com/item/%E5%B9%BF%E5%B7%9E%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6
上海理工大学,University of Shanghai for Science and Technology,上海,102,"上海市杨浦区军工路516号
",https://baike.baidu.com/item/%E4%B8%8A%E6%B5%B7%E7%90%86%E5%B7%A5%E5%A4%A7%E5%AD%A6
东北财经大学,Dongbei University of Finance and Economics,辽宁,财6,"辽宁省大连市沙河口区尖山街217号
",https://baike.baidu.com/item/%E4%B8%9C%E5%8C%97%E8%B4%A2%E7%BB%8F%E5%A4%A7%E5%AD%A6
上海纽约大学,New York University Shanghai,上海,合作2,"上海市浦东新区杨思西路567号
",https://baike.baidu.com/item/%E4%B8%8A%E6%B5%B7%E7%BA%BD%E7%BA%A6%E5%A4%A7%E5%AD%A6
山西大学,Shanxi University,山西,103,"太原市坞城路92号
",https://baike.baidu.com/item/%E5%B1%B1%E8%A5%BF%E5%A4%A7%E5%AD%A6
外交学院,China Foreign Affairs University,北京,语4,"北京市西城区展览馆路24号
",https://baike.baidu.com/item/%E5%A4%96%E4%BA%A4%E5%AD%A6%E9%99%A2
安徽大学,Anhui University,安徽,104,"安徽省合肥市经济技术开发区九龙路111号
",https://baike.baidu.com/item/%E5%AE%89%E5%BE%BD%E5%A4%A7%E5%AD%A6
中央民族大学,Minzu University of China,北京,民1,"北京市海淀区中关村南大街27号
",https://baike.baidu.com/item/%E4%B8%AD%E5%A4%AE%E6%B0%91%E6%97%8F%E5%A4%A7%E5%AD%A6
